binding socket to 'veth34a763b'
START
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xff56f0a30fb651c924aca7971868173, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689947867255
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x7fa35681f46bce5ee754ceccf0215c9e, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689177143981
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x6e1636d97b1c1a2c4eb98eba4e3ac48, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689457047234
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x56f6a67339db5f265844d5cbc6ec824c, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689565420707
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x9b93b82a7de2bff697d420582719eba8, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689437228734
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xe0d28c587b1b39bf5b295f5b62789a57, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689287938125
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x333fd6999e6f5a7171938cd89693525c, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689860089289
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xd2ebb7ae8572f15c5e5ca72789671421, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689696353876
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xfaaa830ddd91fc8c1883e75d601857d5, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690076566015
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xe89e544e8026da6ccaaa9a733fab6d6, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689457216263
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x17f0aabb9c70b00c2763cabf76966d83, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689322025276
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x3aaf829864ef888e317e9004a6bbef0e, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689307023861
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x49dc36d6cb8a53c9a9372f2c8e90c048, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690141081408
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x611508d0f849beaeef706f6cf167a666, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689589123602
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xf0625a1c46a099fcf620ea1b6a06bc1e, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689330520245
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x3cf4335cb5538809c47f070b1b2afd0b, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689859886767
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x16e6bac0cde73c5b1a48d1e0593fc06b, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689725252430
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x15b10eb64b7214ab135c4003754942, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690944623160
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x8582c0e0f9340eb11cd41242aa61af95, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690421412356
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x83c3034df56c2673da33764d587950, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690296329074
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x7428161a85e79967f55ef7fb00bc312d, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690444048706
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xe306d4248d9014d834c4e34ddc55c77d, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690675680004
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xa2345f564c1e290afdb4cd7228726e3e, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51691126887547
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xfae0438c16cc8971dc9b3c958fa7a3b2, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690216686971
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x3c0f6b8c6341bfba733c954625e34a85, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690593367428
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x9c475b4be1f44850e1e5bc8ebe99dd11, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690725696721
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x6917ba8983d3a7de966a416c44fc0a2e, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690946213954
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xc4967a68c95ce0cfb0318f34cbaee740, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690717728226
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xd19cd3beb59d3351a7a45fc2e3142037, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690808975892
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x2abfb034be8ba80e42fd5626fd614348, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690441229493
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xb5952875f92629705855dd78a6d907ff, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690594851550
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x1b3930e99a0f4093d3dbb1edad00e2d3, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690809195206
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xa42d8df7aaf710bedb66b25209b6126c, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690148186373
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x5c63b5696d1764e9bbf2a1b475c8cfed, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690854938505
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x570680e4846cef895eae2d0ce0202582, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690367564756
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xfd43b1cd17909378e882aed1d2dd0295, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690278984415
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x2c5acfb299f0790c26dc59f8cf7170fd, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690554211827
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xcb8ff090f99cc1c6be79025cf68bc1de, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690291439322
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x37af1be5f21c8c59cedf1de402a5564c, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51691080176050
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xdff4486e7fe3f48597841a55c9ad17f, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51691125849698
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x3e80950aaa039d64dd03a4176b53779, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690681109526
